Mean,Cover,Cover_prop,Transect,Date,Decimal_date,RTN_final_mm,X0.1,X0.2,X0.3,X0.4,X0.5,X0.6,X0.7,X0.8,X0.9,X0.10,X0.11,X0.12,X0.13,X0.14,RTN_final_datums_corrected,X0.1.1,X0.2.1,X0.3.1,X0.4.1,X0.5.1,X0.6.1,X0.7.1,X0.8.1,X0.9.1,X0.10.1,X0.11.1,X0.12.1,X0.13.1,X0.14.1,DHW_date,DHW,SST,SSTA,Hotspot,DHW_30,DHW_60,DHW_90,DHW_120,DHW_150,DHW_180,DHW_210,DHW_240,DHW_270,DHW_300,DHW_330,DHW_360
18.95,7,0.07,TR9,01/08/1987,1987.63,-20.2,27.9,35.4,21.2,-24.8,-65.9,-97,-123.1,-138,-126.2,-118.4,-112.6,-103.5,-93.5,-88.3,-9,39.1,46.6,32.3,-13.7,-54.7,-85.8,-111.9,-126.9,-115,-107.2,-101.5,-92.3,-82.3,-77.2,01/08/1987,0.48,28.92,0.02,-0.95,0,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
32,28,0.28,TR9,01/08/1988,1988.63,-61.7,-46.9,-11.7,9.9,-6.1,-31,-42.7,-62.1,-64.7,-50.6,-50.5,-55.8,-53,-43.8,-37.5,-50.6,-35.7,-0.5,21.1,5.1,-19.8,-31.5,-50.9,-53.5,-39.5,-39.3,-44.6,-41.8,-32.6,-26.3,01/08/1988,1.02,29.59,0.69,-0.28,0,0,1.02,1.02,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63
30.8,31,0.31,TR9,01/01/1990,1990.04,-193.3,-188.7,-110.9,-81.6,-70.3,-59.4,-48.2,-30.9,-16.7,-20.1,-27.5,-38.6,-45.3,-46.7,-37.7,-182.1,-177.6,-99.7,-70.4,-59.1,-48.3,-37.1,-19.8,-5.6,-8.9,-16.4,-27.4,-34.1,-35.6,-26.5,01/01/1990,0,28.78,0.65,-1.09,0,0,0,0,0,0,0,0,0,0,0,0
21.775,23.9,0.239,TR9,01/07/1991,1991.54,-0.8,-4.3,-26.5,-50.1,-88.4,-112.3,-130.7,-135,-122.8,-109.7,-101.7,-90.5,-88.9,-79.1,-71.7,10.3,6.8,-15.3,-38.9,-77.3,-101.2,-119.5,-123.8,-111.7,-98.5,-90.6,-79.4,-77.7,-67.9,-60.5,01/07/1991,1.95,30.01,0.66,0.14,0.64,1.12,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95
15.25,20.9,0.209,TR9,01/03/1992,1992.21,-209.8,-238.3,-229.5,-197.8,-156,-125,-110.5,-101.1,-89.9,-81.7,-80.7,-84.1,-96.2,-105.9,-114.9,-198.7,-227.2,-218.3,-186.7,-144.9,-113.8,-99.4,-89.9,-78.8,-70.6,-69.6,-72.9,-85,-94.7,-103.7,01/03/1992,0,28.34,-0.53,-1.53,0,0,0,0,0,0,0,0,0.64,1.12,1.95,1.95
17.725,22.3,0.223,TR9,01/07/1992,1992.54,19.2,60.2,44.2,-1.1,-42.8,-80.2,-99,-99.5,-87.2,-75.4,-70.7,-67.7,-62.6,-58.7,-59.5,30.3,71.3,55.3,10.1,-31.7,-69,-87.8,-88.3,-76,-64.3,-59.6,-56.6,-51.4,-47.5,-48.3,01/07/1992,0,29.01,-0.34,-0.86,0,0,0,0,0,0,0,0,0,0,0,0
26.25,14.5,0.145,TR9,01/11/1992,1992.88,23.2,65.2,31.5,26.4,25,37.7,34,12.7,-12,-37.5,-53.4,-57.5,-52.2,-46.3,-44.8,34.3,76.3,42.7,37.6,36.1,48.8,45.2,23.8,-0.9,-26.4,-42.2,-46.3,-41,-35.2,-33.7,01/11/1992,0,27.53,-0.99,-2.34,0,0,0,0,0,0,0,0,0,0,0,0
17.925,12.8,0.128,TR9,01/03/1993,1993.21,-204.8,-236.8,-232.2,-204.6,-159,-114.7,-103.4,-89.1,-77,-59.2,-52.7,-59.7,-71.3,-85.3,-93.7,-193.7,-225.7,-221,-193.4,-147.9,-103.5,-92.2,-77.9,-65.9,-48.1,-41.6,-48.6,-60.1,-74.1,-82.5,01/03/1993,0,28.61,-0.25,-1.26,0,0,0,0,0,0,0,0,0,0,0,0
22.5,16.9,0.169,TR9,01/08/1993,1993.63,15.2,-7.3,-5.5,-16.3,-36.6,-64.7,-93.8,-110,-111.3,-97.8,-79.2,-75.6,-68.9,-62.6,-51.7,26.3,3.8,5.7,-5.2,-25.5,-53.5,-82.7,-98.8,-100.1,-86.7,-68,-64.4,-57.7,-51.4,-40.5,01/08/1993,0,29.46,0.56,-0.41,0,0,0,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
21.6875,17.8,0.178,TR9,01/03/1994,1994.21,-87.8,-64.3,-43.8,-8.1,3.2,0.5,-6.5,-3.8,-6.7,-6.2,-10.1,-19.1,-33.4,-50.2,-61.7,-76.7,-53.2,-32.7,3.1,14.3,11.7,4.6,7.3,4.5,4.9,1.1,-7.9,-22.2,-39,-50.5,01/03/1994,0,28.65,-0.21,-1.22,0,0,0,0,0,0,0,0,0,0,0.33,0.33
24.3625,24.2,0.242,TR9,01/08/1994,1994.63,-77.8,-54.3,-45.2,-57.6,-75.2,-77.3,-72.1,-63.5,-45.4,-36,-33.9,-35.2,-31.3,-31.2,-29.2,-66.7,-43.2,-34,-46.4,-64.1,-66.2,-60.9,-52.3,-34.2,-24.9,-22.7,-24,-20.1,-20,-18.1,01/08/1994,0,28.36,-0.54,-1.51,0,0,0,0,0,0,0,0,0,0,0,0
13.7375,16.7,0.167,TR9,01/02/1995,1995.13,-228.8,-253.8,-233.8,-231.3,-215.4,-198,-180.8,-162.1,-147,-141.8,-142.2,-137.7,-130.2,-121.1,-106.4,-217.7,-242.7,-222.7,-220.2,-204.3,-186.8,-169.7,-150.9,-135.9,-130.7,-131,-126.5,-119,-109.9,-95.3,01/02/1995,0,29.21,0.91,-0.66,0,0,0,0,0,0,0,0,0,0,0,0
13.9025,10.65,0.1065,TR9,01/06/1995,1995.46,-2.8,-3.8,-15.8,-48.1,-84.2,-116.7,-127.7,-139.7,-141,-138,-132.6,-124.1,-116.6,-115,-117.1,8.3,7.3,-4.7,-36.9,-73.1,-105.5,-116.5,-128.5,-129.9,-126.9,-121.4,-112.9,-105.4,-103.9,-105.9,01/06/1995,0.16,29.11,-0.58,-0.76,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
15.36,10.88,0.1088,TR9,01/10/1995,1995.79,-12.8,-48.8,-43.8,-32.1,-26.2,-22.7,-25.1,-40.1,-61,-82.8,-92.9,-103.8,-107.5,-107.8,-105.8,-1.7,-37.7,-32.7,-20.9,-15.1,-11.5,-13.9,-28.9,-49.9,-71.7,-81.7,-92.7,-96.3,-96.6,-94.6,01/10/1995,0,28.68,0.21,-1.19,0,0,0,0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
25.175,26.1,0.261,TR9,01/02/1996,1996.13,-205.8,-211.3,-180.2,-110.6,-91,-90,-82,-71.3,-63.7,-57.8,-56.2,-63.6,-76.3,-90.8,-97.6,-194.7,-200.2,-169,-99.4,-79.9,-78.8,-70.8,-60.2,-52.5,-46.7,-45,-52.4,-65.1,-79.6,-86.5,01/02/1996,0,27.93,-0.37,-1.94,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16
38.0125,39.9,0.399,TR9,01/02/1997,1997.13,-159.8,-117.8,-4.8,44.4,73.4,82.2,83.6,87.7,85.1,87.9,66.8,38.8,20,3.1,-5,-148.7,-106.7,6.3,55.6,84.5,93.3,94.8,98.8,96.2,99,78,50,31.2,14.3,6.2,01/02/1997,0,28.33,0.03,-1.54,0,0,0,0,0,0,0,0,0,0,0,0
17.5125,19.7,0.197,TR9,01/07/1997,1997.54,-146.8,-91.3,-55.5,-84.6,-97.2,-107.7,-103.1,-62.6,-34.3,-11.9,0.6,8.3,16.6,20,26.2,-135.7,-80.2,-44.3,-73.4,-86.1,-96.5,-91.9,-51.4,-23.1,-0.8,11.8,19.4,27.7,31.1,37.3,01/07/1997,1.2,29.3,-0.05,-0.57,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
8.85,8.15,0.0815,TR9,01/01/1998,1998.04,-333.8,-347.8,-324.8,-299.6,-269.8,-240,-226.7,-202.8,-178.5,-177.8,-175.1,-173.8,-166.3,-138.6,-116.6,-322.7,-336.7,-313.7,-288.4,-258.7,-228.8,-215.5,-191.7,-167.3,-166.7,-163.9,-162.7,-155.1,-127.4,-105.4,01/01/1998,0,28.34,0.21,-1.53,0,0,0,0,0,0,0,1.2,1.2,1.2,1.2,1.2
11.325,4.3,0.043,TR9,01/07/1998,1998.54,-31.8,4.7,-25.8,-66.3,-107.8,-144.3,-171.4,-195.2,-204.5,-206.4,-201.4,-192.2,-188.7,-177.8,-164.8,-20.7,15.8,-14.7,-55.2,-96.7,-133.2,-160.2,-184,-193.3,-195.3,-190.2,-181,-177.5,-166.6,-153.7,01/07/1998,4.13,29.52,0.17,-0.35,0.9,3.66,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99
15.525,7.5,0.075,TR9,01/11/1998,1998.88,74.2,23.2,12.5,2.4,-4.4,3.2,-9.7,-32,-58.8,-85.6,-108.2,-129.3,-140.8,-146.8,-147,85.3,34.3,23.7,13.6,6.7,14.3,1.5,-20.8,-47.7,-74.5,-97,-118.2,-129.7,-135.6,-135.9,01/11/1998,0,28.56,0.04,-1.31,0,0,0,0,0.55,3.66,3.99,3.99,3.99,3.99,3.99,3.99
19.5875,16.8,0.168,TR9,01/02/1999,1999.13,-105.8,-80.8,-62.8,-28.6,-28.4,-25.2,-25.5,-26.3,-18.8,-25.6,-40.4,-59.8,-80.4,-98.5,-116,-94.7,-69.7,-51.7,-17.4,-17.3,-14,-14.4,-15.2,-7.7,-14.5,-29.2,-48.7,-69.2,-87.3,-104.9,01/02/1999,0,28.21,-0.09,-1.66,0,0,0,0,0,0,0,0.16,3.5,3.99,3.99,3.99
24.15,18.4,0.184,TR9,01/02/2000,2000.13,-89.8,-78.3,41.8,55.7,57.4,40.5,27.9,20,15.5,16.4,16.2,4,-4.4,-8.1,-9.4,-78.7,-67.2,53,66.8,68.5,51.7,39.1,31.2,26.7,27.5,27.3,15.2,6.7,3.1,1.8,01/02/2000,0,27.73,-0.57,-2.14,0,0,0,0,0,0,0,0,0,0,0,0
36.12,24,0.24,TR9,01/02/2001,2001.13,-65.8,-47.3,-33.5,-16.3,-9.8,-13.5,-4.5,2.7,5.5,8.8,10.4,7.4,-0.1,-4.8,14.3,-54.7,-36.2,-22.3,-5.2,1.3,-2.3,6.6,13.8,16.7,19.9,21.6,18.6,11.1,6.3,25.5,01/02/2001,0,29.04,0.74,-0.83,0,0,0,0,0,0,0,0,0,0,0,0
37.96666667,29.3,0.293,TR9,01/06/2001,2001.46,26.2,53.7,23.5,-2.1,-14.8,-17.2,-15.5,-9.2,-6.4,-8.9,-3.6,1.1,3.2,5.7,7.1,37.3,64.8,34.7,9.1,-3.7,-6,-4.4,2,4.8,2.2,7.5,12.3,14.3,16.8,18.3,01/06/2001,0,29.55,-0.14,-0.32,0,0,0,0,0,0,0,0,0,0,0,0
48.1375,38,0.38,TR9,01/01/2002,2002.04,-247.8,-147.3,-80.8,-61.1,-50.2,-34.8,-26.4,-19.8,-8.6,-11.4,-17.6,-21.6,-22.1,-21,-17.2,-236.7,-136.2,-69.7,-49.9,-39.1,-23.7,-15.2,-8.7,2.6,-0.3,-6.4,-10.4,-11,-9.8,-6.1,01/01/2002,0,27.25,-0.88,-2.62,0,0,0,0,0,0,0,0,0,0,0,0
43.025,37.1,0.371,TR9,01/05/2002,2002.38,175.2,70.7,-28.8,-83.3,-116.2,-104.7,-82.3,-72.2,-64.9,-54.2,-47.1,-41,-31.6,-32,-35.1,186.3,81.8,-17.7,-72.2,-105.1,-93.5,-71.1,-61,-53.8,-43.1,-35.9,-29.8,-20.4,-20.8,-23.9,01/05/2002,0,30.43,0.57,0.56,0,0,0,0,0,0,0,0,0,0,0,0
44.09,31.64,0.3164,TR9,01/03/2003,2003.21,-60.8,-85.8,-81.2,-63.1,-58,-54.5,-51.4,-36.7,-33.3,-13.2,3.9,0.8,-16.8,-33.3,-47.6,-49.7,-74.7,-70,-51.9,-46.9,-43.3,-40.2,-25.5,-22.1,-2.1,15.1,11.9,-5.7,-22.1,-36.4,01/03/2003,0,29.44,0.58,-0.43,0,0,0,0,0,0,0,0,0,0,0,0
44.6475,40.77,0.4077,TR9,01/05/2003,2003.38,174.2,83.2,35.2,-1.3,-15.4,-14.3,-17.7,-20.1,-21.5,-12.7,-12.1,2.8,16.1,12.5,-3.5,185.3,94.3,46.3,9.8,-4.3,-3.2,-6.5,-8.9,-10.3,-1.6,-0.9,14,27.3,23.7,7.7,01/05/2003,1.21,30.56,0.7,0.69,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21
44.5925,41.2,0.412,TR9,01/02/2004,2004.13,-194.2,-179,-117.9,-66.9,-40.7,-29.9,-27.2,-39.5,-26,-6,-6.1,-10.7,-18.4,-22.2,-21.3,-183.1,-167.8,-106.8,-55.7,-29.5,-18.7,-16,-28.3,-14.8,5.2,5,0.5,-7.2,-11,-10.1,01/02/2004,0,28.73,0.43,-1.14,0,0,0,0,0,0,0,0,0,1.36,1.36,1.36
43.3825,35.68,0.3568,TR9,01/10/2004,2004.79,-92,-72.4,-57.2,-42.5,-13.6,9.7,0.8,-10.9,-31.3,-44.5,-40.1,-29.6,-22.4,-19.1,-18.5,-80.8,-61.3,-46,-31.3,-2.5,20.9,12,0.2,-20.1,-33.4,-28.9,-18.4,-11.2,-7.9,-7.3,01/10/2004,0,29.24,0.77,-0.63,0,0,0,0,1.02,1.52,1.52,1.52,1.52,1.52,1.52,1.52
42.8375,31.64,0.3164,TR9,01/03/2005,2005.21,-348.1,-322.1,-273.4,-251.2,-217.6,-196.7,-176.1,-157.5,-139.8,-115.6,-93.6,-90.2,-90.4,-97.8,-102.2,-336.9,-310.9,-262.3,-240.1,-206.5,-185.5,-165,-146.3,-128.6,-104.5,-82.5,-79,-79.3,-86.7,-91.1,01/03/2005,0,29.1,0.24,-0.77,0,0,0,0,0,0,0,0,0,1.02,1.52,1.52
32.6325,24.6,0.246,TR9,01/05/2005,2005.38,-5.2,-51.1,-150.1,-186.6,-184.5,-184.5,-170.1,-160.3,-148.4,-136.2,-123.7,-104.9,-87.1,-84.6,-85.2,5.9,-39.9,-138.9,-175.4,-173.3,-173.4,-158.9,-149.1,-137.2,-125,-112.5,-93.7,-75.9,-73.5,-74,01/05/2005,1.82,30.92,1.06,1.05,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,2.69
31.6725,25,0.25,TR9,01/06/2005,2005.46,36.9,15.8,-21.8,-103.4,-141.9,-147.6,-152.9,-144.2,-138.4,-129.8,-120.4,-110.3,-94,-78.2,-76.5,48.1,27,-10.6,-92.2,-130.7,-136.4,-141.7,-133,-127.2,-118.7,-109.3,-99.1,-82.8,-67.1,-65.4,01/06/2005,2.19,29.53,-0.16,-0.34,0.37,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19
48.38,36,0.36,TR9,01/05/2006,2006.38,30.4,17.6,-28.5,-86.4,-103.4,-92.9,-69.8,-61.8,-54.8,-55.5,-50.3,-43,-40.1,-44.2,-64.5,41.6,28.8,-17.3,-75.2,-92.2,-81.7,-58.6,-50.6,-43.7,-44.3,-39.1,-31.9,-29,-33,-53.3,01/05/2006,0,30.51,0.65,0.64,0,0,0,0,0,0,0,0,0,0,0,0
44.0225,33.4,0.334,TR9,01/02/2007,2007.13,-209,-181.1,-179,-172,-146.1,-133.5,-122.7,-99.8,-89.6,-77.6,-70.1,-74.3,-88.6,-94.5,-90.9,-197.8,-170,-167.9,-160.8,-134.9,-122.3,-111.6,-88.6,-78.4,-66.4,-58.9,-63.1,-77.4,-83.3,-79.7,01/02/2007,0,27.81,-0.49,-2.06,0,0,0,0,0,0,0,0,1.53,1.69,1.69,1.69
36.1325,23.7,0.237,TR9,01/05/2007,2007.38,48.6,28.3,-42,-83.8,-97.7,-110.5,-116.3,-107.1,-103,-98.5,-84,-77.7,-69.4,-64.1,-67.9,59.7,39.4,-30.9,-72.6,-86.5,-99.4,-105.1,-95.9,-91.8,-87.3,-72.8,-66.5,-58.2,-52.9,-56.7,01/05/2007,0.15,30.54,0.68,0.67,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1.68
40.48,30.1,0.301,TR9,01/05/2008,2008.38,22.8,31.4,14.6,-15.9,-27.3,-27.2,-8,-7.2,-9.3,-4,-0.9,2.5,6,6.1,-6.4,34,42.6,25.7,-4.7,-16.1,-16,3.2,4,1.8,7.1,10.2,13.6,17.2,17.3,4.7,01/05/2008,0,30.53,0.67,0.66,0,0,0,0,0,0,0,0,0,0,0,0.3
57.5,51.93,0.5193,TR9,01/04/2009,2009.29,82,61.2,17.3,-0.8,20.2,33.9,32.3,38.8,37.4,28.9,19.6,19.9,21.4,18.5,10.1,93.2,72.4,28.5,10.3,31.3,45.1,43.5,50,48.5,40.1,30.8,31,32.6,29.7,21.3,01/04/2009,0,30.45,0.88,0.58,0,0,0,0,0,0,0,0,0,0,0,0
48.5,45,0.45,TR9,01/05/2010,2010.38,36.5,16.4,-33.9,-68,-61.6,-45.6,-33.9,-21.7,-11.1,-6.6,-4.8,9.9,17.2,21.9,23.1,47.7,27.6,-22.7,-56.8,-50.4,-34.4,-22.7,-10.5,0,4.6,6.4,21.1,28.4,33,34.3,01/05/2010,4.52,30.97,1.11,1.1,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36
16.275,8.6,0.086,TR9,01/08/2010,2010.63,54.8,37.9,24.4,27.5,21.2,-4.7,-28.4,-29.3,-22.2,-16.4,-9.1,-2.2,0.6,1.5,12.8,66,49.1,35.6,38.6,32.4,6.4,-17.2,-18.2,-11.1,-5.2,2.1,8.9,11.7,12.6,24,01/08/2010,5.02,29.73,0.83,-0.14,0,0.6,6.74,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51
14.6,5.3,0.053,TR9,01/03/2011,2011.21,98.7,77.4,110.3,126.4,113.4,118.4,104,97.8,89.3,80.1,76.1,69.5,53.8,37.8,32.9,109.8,88.6,121.4,137.5,124.5,129.5,115.1,109,100.4,91.3,87.3,80.7,65,49,44,01/03/2011,0,29.32,0.46,-0.55,0,0,0,0,0,0,0,0,0.29,6.28,11.51,11.51
16.8,10.8,0.108,TR9,01/05/2011,2011.38,155.3,148.7,132,113,125.6,133.8,123.5,125.9,113.9,108,100.1,91.5,87.3,80.8,66.4,166.5,159.9,143.2,124.2,136.8,145,134.6,137.1,125.1,119.2,111.2,102.7,98.5,92,77.6,01/05/2011,0,30.24,0.38,0.37,0,0,0,0,0,0,0,0,0,0,0.29,6.07
21.075,19.7,0.197,TR9,01/11/2011,2011.88,117.1,129.3,105.5,102.8,115.3,121.3,126.1,128.1,124.9,118,123.3,127.5,122.5,123.9,116.8,128.3,140.5,116.7,114,126.5,132.5,137.3,139.3,136,129.2,134.4,138.7,133.6,135.1,128,01/11/2011,0,29.05,0.53,-0.82,0,0,0,0,0,0,0,0,0,0,0,0
31.15,24,0.24,TR9,01/04/2012,2012.29,136.1,122.4,97.6,108.6,117.1,117.1,120.6,112.8,110.7,116.2,119.4,122.4,123.9,122.1,117.7,147.3,133.5,108.7,119.8,128.3,128.3,131.8,123.9,121.9,127.4,130.6,133.5,135.1,133.3,128.9,01/04/2012,0,30.47,0.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0
28.125,20.8,0.208,TR9,01/03/2013,2013.21,39,38.3,71.4,94.1,104.3,96.1,86.6,83.5,83.7,90.9,93.8,97.4,98.2,94.6,97.8,-10.8,-11.5,21.6,65,87.7,84.1,77.9,77.3,79.4,88.2,92.4,96.9,98.7,95.9,99.7,01/03/2013,0,29.28,0.42,-0.59,0,0,0,0,0,0,0,0,0,0,0.15,0.15
23.725,23.9,0.239,TR9,01/01/2014,2014.04,-1.5,69.2,103.2,113.6,121.4,126.9,130,141.5,158.8,156.7,146,137,137.1,138.8,139.3,-51.4,19.4,53.4,63.7,71.6,77.1,80.1,91.7,109,106.9,96.2,87.2,87.2,94.9,100.5,01/01/2014,0,27.7,-0.43,-2.17,0,0,0,0,0,0,0,0,0,0,0,0
16.225,20,0.2,TR9,01/02/2015,2015.13,-45.2,53.1,98.2,128,134,124.6,127.8,144.2,153.3,157.1,145.7,125.8,111,103,105.4,-100.1,-1.7,45.1,75.6,82.2,73.1,76.6,93.2,102.4,106.3,95,75.1,60.4,52.4,54.9,01/02/2015,0,28.47,0.17,-1.4,0,0,0,0,0,0,0,0,0.97,2.11,2.11,2.11
23.8,37.4,0.374,TR9,01/03/2016,2016.21,9.6,16,23.5,58.4,69,73.1,82.1,91.5,108,115.2,120.1,114.7,105.6,94.8,98.6,-45.3,-38.8,-31.4,3.6,14.1,18.3,27.3,36.7,53.1,60.4,65.3,59.9,50.8,40,43.8,01/03/2016,0,28.99,0.12,-0.88,0,0,0,0,0,0,0,0,0.68,1.32,1.47,1.47
23.2,35.6,0.356,TR9,01/07/2016,2016.54,264.9,316.8,306,250.8,202.6,172.5,153.4,154.6,149.8,144.2,143.5,144.6,151.9,154,154.9,210.1,262,251.2,196,147.7,117.7,98.5,99.8,95,89.4,88.7,89.8,97.1,99.2,100.1,01/07/2016,5.82,29.82,0.47,-0.05,0,4.56,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82
31.2,47.5,0.475,TR9,01/01/2017,2017.04,126.9,166.3,189.5,194.1,206.4,210.2,218,236.8,242.1,226.4,206.7,191.4,179.6,178.4,173.9,72.1,111.5,134.7,139.3,151.5,155.4,163.2,182,187.3,171.6,151.9,136.5,124.8,123.6,119.1,01/01/2017,0,28.76,0.63,-1.11,0,0,0,0,0,0,0,3.79,5.82,5.82,5.82,5.82
50.775,61.6,0.616,TR9,01/11/2017,2017.87,208.6,207.4,203.1,190.4,183.9,186.5,181.8,174.3,156.8,141,139.7,145.2,152.2,156.2,162.8,153.8,152.5,148.2,135.5,129,131.7,127,119.5,102,86.2,84.9,90.4,97.4,101.3,108,01/11/2017,0,29.84,1.32,-0.03,0,0,0,0,0,0.76,1.07,1.07,1.07,1.07,1.07,1.07
43.6,55,0.55,TR9,01/02/2018,2018.12,356.9,217.8,202.6,204.1,204.5,202.8,195.6,190.9,191.9,188.1,182,168.3,155.2,153.2,156.7,302,163,147.8,149.3,149.7,148,140.8,136.1,137.1,133.3,127.2,113.4,100.4,98.4,101.9,01/02/2018,0,29.2,0.9,-0.67,0,0,0,0,0,0,0,0,0.6,1.07,1.07,1.07
47.75,54,0.54,TR9,01/01/2019,2019.04,-1.4,84.5,142.1,150.8,145.9,160.9,165.1,167.3,163,154.2,142,159.9,153.7,155,158.6,-56.3,29.6,87.3,95.9,91.1,106.1,110.3,112.5,108.2,99.4,87.2,105.1,98.9,100.2,103.7,01/01/2019,0,29.25,1.12,-0.62,0,0,0,0,0,0,0,0.49,0.93,0.93,0.93,0.93
30.3,31.5,0.315,TR9,01/05/2019,2019.37,185.3,141.9,102.1,148.5,118.5,127.1,145.7,149.6,147,155.9,159.1,161,158.5,152.6,143.7,130.5,87.1,47.3,93.6,63.7,72.3,90.9,94.8,92.2,101.1,104.2,106.2,103.7,97.7,88.9,01/05/2019,3.77,31.36,1.5,1.49,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,4.04
32.45,30.3,0.303,TR9,01/06/2019,2019.46,169,177.2,151,118.8,152.6,126.9,133.1,148.6,151.8,149.2,157.1,159.9,161.6,159.3,153.7,114.2,122.3,96.1,64,97.7,72.1,78.3,93.8,96.9,94.4,102.3,105.1,106.8,104.4,98.8,01/06/2019,4.51,30.26,0.57,0.39,0.75,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51
23.2,24,0.24,TR9,01/11/2019,2019.87,38,35.5,61.4,87.7,108.9,118.9,128.4,124.7,113.3,130.7,118.7,123,133.4,136.5,135.8,-16.8,-19.3,6.6,32.8,54.1,64.1,73.6,69.8,58.5,75.9,63.9,68.2,78.5,81.6,81,01/11/2019,0,30.04,1.52,0.17,0,0,0,0.49,0.49,0.65,5.01,5.01,5.01,5.01,5.01,5.01
19.88,22,0.22,TR9,01/03/2020,2020.21,13.7,6.1,-3.6,-16.2,-5.3,1.1,17.1,35.7,53.3,64.9,75.8,77.7,73.5,88.8,82.7,-41.1,-48.7,-58.4,-71,-60.2,-53.8,-37.7,-19.1,-1.5,10.1,21,22.9,18.6,33.9,27.9,01/03/2020,0,28.84,-0.03,-1.03,0,0,0,0,0,0,0,0.49,0.49,0.65,4.86,5.01
22.425,22,0.22,TR9,01/11/2020,2020.87,258.6,241.2,229,236.1,232.1,236.1,248.5,230.9,206.8,186,167,148.6,140.1,132.4,131.1,203.8,186.4,174.2,181.3,177.3,181.2,193.7,176.1,152,131.1,112.1,93.7,85.2,77.6,76.3,01/11/2020,0,NA,NA,-1.05,0,0,0,0,0,1.06,1.21,1.21,1.21,1.21,1.21,1.21
18.95,21.6,0.216,TR11,01/08/1987,1987.63,-20.2,27.9,35.4,21.2,-24.8,-65.9,-97,-123.1,-138,-126.2,-118.4,-112.6,-103.5,-93.5,-88.3,-9,39.1,46.6,32.3,-13.7,-54.7,-85.8,-111.9,-126.9,-115,-107.2,-101.5,-92.3,-82.3,-77.2,01/08/1987,0.48,28.92,0.02,-0.95,0,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
32,36,0.36,TR11,01/08/1988,1988.63,-61.7,-46.9,-11.7,9.9,-6.1,-31,-42.7,-62.1,-64.7,-50.6,-50.5,-55.8,-53,-43.8,-37.5,-50.6,-35.7,-0.5,21.1,5.1,-19.8,-31.5,-50.9,-53.5,-39.5,-39.3,-44.6,-41.8,-32.6,-26.3,01/08/1988,1.02,29.59,0.69,-0.28,0,0,1.02,1.02,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63
30.8,30.6,0.306,TR11,01/01/1990,1990.04,-193.3,-188.7,-110.9,-81.6,-70.3,-59.4,-48.2,-30.9,-16.7,-20.1,-27.5,-38.6,-45.3,-46.7,-37.7,-182.1,-177.6,-99.7,-70.4,-59.1,-48.3,-37.1,-19.8,-5.6,-8.9,-16.4,-27.4,-34.1,-35.6,-26.5,01/01/1990,0,28.78,0.65,-1.09,0,0,0,0,0,0,0,0,0,0,0,0
21.775,13.9,0.139,TR11,01/07/1991,1991.54,-0.8,-4.3,-26.5,-50.1,-88.4,-112.3,-130.7,-135,-122.8,-109.7,-101.7,-90.5,-88.9,-79.1,-71.7,10.3,6.8,-15.3,-38.9,-77.3,-101.2,-119.5,-123.8,-111.7,-98.5,-90.6,-79.4,-77.7,-67.9,-60.5,01/07/1991,1.95,30.01,0.66,0.14,0.64,1.12,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95
15.25,11.8,0.118,TR11,01/03/1992,1992.21,-209.8,-238.3,-229.5,-197.8,-156,-125,-110.5,-101.1,-89.9,-81.7,-80.7,-84.1,-96.2,-105.9,-114.9,-198.7,-227.2,-218.3,-186.7,-144.9,-113.8,-99.4,-89.9,-78.8,-70.6,-69.6,-72.9,-85,-94.7,-103.7,01/03/1992,0,28.34,-0.53,-1.53,0,0,0,0,0,0,0,0,0.64,1.12,1.95,1.95
